SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap,12-period-EMA,26-period-EMA,MACD,Signal,change,gain,loss,avg-gain,avg-loss,RS,RSI,adx
1,Cardano,ADA,2017-10-02 23:59:59,0.0300877001136541,0.0199692994356155,0.0246070008724927,0.0259317997843027,57641300.0,628899051.78,,,,,0.0,0.0,0.0,,,,,0.0
2,Cardano,ADA,2017-10-03 23:59:59,0.0274251997470855,0.0206898991018533,0.025756599381566,0.0208158008754253,16997800.0,539692714.905,,,,,-0.0051159989088774,0.0,0.0051159989088774,,,,,0.0
3,Cardano,ADA,2017-10-04 23:59:59,0.0228062998503446,0.0208640992641448,0.0208640992641448,0.0219314992427825,9000050.0,568619547.504,,,,,0.0011156983673571,0.0011156983673571,0.0,,,,,0.0
4,Cardano,ADA,2017-10-05 23:59:59,0.0221535991877317,0.0208592992275953,0.0219512991607189,0.0214887000620365,5562510.0,557139040.67,,,,,-0.0004427991807459,0.0,0.0004427991807459,,,,,0.0
5,Cardano,ADA,2017-10-06 23:59:59,0.0215418990701437,0.018359700217843,0.0213588997721672,0.0185391008853912,7780710.0,480664553.411,,,,,-0.0029495991766452,0.0,0.0029495991766452,,,,,0.0
6,Cardano,ADA,2017-10-07 23:59:59,0.0210503004491329,0.0176199991255998,0.0184138994663953,0.0209408998489379,7411240.0,542936191.429,,,,,0.0024017989635467,0.0024017989635467,0.0,,,,,0.0
7,Cardano,ADA,2017-10-08 23:59:59,0.0235977005213499,0.0201473999768495,0.0209293998777866,0.0204771999269723,7727460.0,530913808.821,,,,,-0.0004636999219656,0.0,0.0004636999219656,,,,,0.0
8,Cardano,ADA,2017-10-09 23:59:59,0.0228071995079517,0.0203419998288154,0.0203443001955747,0.02211369946599,4663310.0,573343459.756,,,,,0.0016364995390177,0.0016364995390177,0.0,,,,,0.0
9,Cardano,ADA,2017-10-10 23:59:59,0.0224460996687412,0.0212792996317148,0.0221120994538068,0.0215313006192445,2725600.0,558243533.875,,,,,-0.0005823988467455,0.0,0.0005823988467455,,,,,0.0
10,Cardano,ADA,2017-10-11 23:59:59,0.0225757006555795,0.0209764000028371,0.0214799996465444,0.0225195009261369,3606720.0,583864664.98,,,,,0.0009882003068924,0.0009882003068924,0.0,,,,,0.0
11,Cardano,ADA,2017-10-12 23:59:59,0.0267632007598876,0.021825099363923,0.0225384999066591,0.0262521002441644,8680640.0,680640048.471,,,,,0.0037325993180275,0.0037325993180275,0.0,,,,,0.0
