open-time,open,high,low,close,volume,close-time,quote-asset-volume,num-of-trades,taker-buy-base-asset-vol,taker-buy-quote-asset-vol,ignore,open-usd,high-usd,low-usd,close-usd
1580428800.0,4.3258,4.372,4.3007,4.3163,471127.66,1580432399999,2042363.768755,3477,224366.35,972696.216967,0,4.319311300000001,4.367628,4.29166853,4.30982555
1580432400.0,4.3163,4.3473,4.285,4.3398,519639.29,1580435999999,2244698.243133,3557,309441.16,1337220.519316,0,4.30982555,4.3429527,4.2768585,4.33372428
1580436000.0,4.3398,4.3414,4.3,4.3037,393457.55,1580439599999,1697779.86184,3115,180120.36,777224.157228,0,4.33285632,4.3370586,4.29183,4.29595334
1580439600.0,4.3044,4.3292,4.2984,4.316,199691.74,1580443199999,861837.631865,1802,102466.03,442247.578039,0,4.29665208,4.3231391200000004,4.28937336,4.3069364
1580443200.0,4.3147,4.3189,4.23,4.2769,627181.94,1580446799999,2686845.161324,4736,326759.13,1399897.376919,0,4.30563913,4.31112598,4.218579,4.266635440000001
1580446800.0,4.2773,4.2893,4.1843,4.2416,879224.53,1580450399999,3725831.253457,6423,446714.45,1893857.364665,0,4.267889940000001,4.28200819,4.17425768,4.23184432
1580450400.0,4.2413,4.273,4.2296,4.2548,573389.78,1580453999999,2438635.386968,4118,280983.7,1195278.457182,0,4.23196914,4.2648813,4.21818008,4.2462904
1580454000.0,4.2541,4.2565,4.202,4.2296,417581.46,1580457599999,1763461.365248,2963,184781.77,780436.451708,0,4.2451663900000005,4.247987,4.1902344,4.21775712
1580457600.0,4.2298,4.2409,4.2118,4.2284,191904.02,1580461199999,811092.484988,1998,109372.83,462271.364,0,4.21837954,4.23199411,4.1995857800000005,4.21952036
1580461200.0,4.2307,4.2549,4.2215,4.2253,279918.44,1580464799999,1187381.963321,2546,142245.59,603481.078865,0,4.22181553,4.24596471,4.2096798,4.21346916
1580464800.0,4.2265,4.2283,4.1686,4.1956,730954.18,1580468399999,3070585.701934,5528,370706.69,1557407.445248,0,4.21424315,4.22660868,4.15651106,4.18343276
1580468400.0,4.1957,4.1991,4.1686,4.1852,282923.02,1580471999999,1184436.075412,2632,144391.92,604551.647049,0,4.1831129,4.1991,4.1560942,4.17599256
1580472000.0,4.1829,4.187,4.07,4.1185,903703.11,1580475599999,3735677.201147,7538,421022.32,1741190.379405,0,4.17369762,4.1807195,4.060639,4.1119104
1580475600.0,4.1181,4.1228,4.0302,4.087,1050442.36,1580479199999,4282963.225609,7489,528049.82,2153668.447511,0,4.11192285,4.1166158,4.02093054,4.0784173
1580479200.0,4.0889,4.104,4.0222,4.0603,545371.8,1580482799999,2215033.159764,4452,236703.4,961224.476881,0,4.08031331,4.097844,4.01294894,4.05177337
1580482800.0,4.0607,4.1229,4.0586,4.1183,443039.91,1580486399999,1812589.596064,3512,235689.68,964347.113101,0,4.0525785999999995,4.124549159999999,4.0492652200000006,4.10923974
1580486400.0,4.1188,4.1274,4.0392,4.0762,547951.19,1580489999999,2240453.873998,4458,260272.44,1063921.71366,0,4.11138616,4.12162164,4.03031376,4.06723236
1580490000.0,4.077,4.0842,4.0422,4.0509,495149.54,1580493599999,2008378.377572,3019,313436.78,1270869.068133,0,4.0680306,4.07644002,4.0329029400000005,4.04320329
1580493600.0,4.0503,4.0844,4.0451,4.0748,262526.23,1580497199999,1067893.783518,2276,135510.42,551115.186498,0,4.04138934,4.077864959999999,4.0353917599999996,4.066650399999999
1580497200.0,4.0748,4.0813,4.0521,4.0536,246160.77,1580500799999,1001026.597829,1798,119726.12,486962.83984,0,4.066650399999999,4.07476992,4.04359059,4.04670888
1580500800.0,4.0534,4.1239,4.0515,4.0976,319241.35,1580504399999,1306797.029827,2739,174302.7,713545.121788,0,4.04650922,4.11730176,4.0425867,4.08858528
1580504400.0,4.0975,4.1259,4.0932,4.1258,183159.88,1580507999999,752672.316178,1611,86734.49,356554.332638,0,4.0884855,4.12053633,4.08378564,4.1196113
1580508000.0,4.1259,4.1629,4.1158,4.15,255117.01,1580511599999,1055961.270663,2306,133831.68,554093.153986,0,4.11971115,4.15790452,4.1075684,4.142945
1580511600.0,4.15,4.156,4.102,4.1444,392420.23,1580515199999,1621531.018929,3627,215543.88,890727.45453,0,4.142945,4.1505972,4.0946164000000005,4.13735452
1580515200.0,4.1462,4.2053,4.1403,4.1964,538155.75,1580518799999,2250882.46823,4278,279315.59,1168841.969669,0,4.13915146,4.19983311,4.13326149,4.190944679999999
1580518800.0,4.1972,4.2649,4.1921,4.2577,523146.28,1580522399999,2212891.567786,4719,288387.77,1219931.906377,0,4.1921633599999995,4.2606351,4.18581185,4.25173922
1580522400.0,4.2576,4.2648,4.2139,4.2345,517840.95,1580525999999,2194395.2692,4430,236665.81,1002720.34465,0,4.25163936,4.2605352000000005,4.20673637,4.22899515
1580526000.0,4.2363,4.244,4.1966,4.239,197108.59,1580529599999,831273.03413,2138,100623.74,424384.621423,0,4.22952192,4.239756,4.18988544,4.2339132
1580529600.0,4.2385,4.2446,4.172,4.1773,316872.6,1580533199999,1331683.763577,2671,123785.23,520628.365768,0,4.232142250000001,4.23993094,4.165742,4.17228724
1580533200.0,4.1777,4.1955,4.1443,4.1487,270498.33,1580536799999,1127782.212772,2806,112728.32,469824.781884,0,4.1726867599999995,4.19172405,4.1389124100000005,4.14496617
1580536800.0,4.1487,4.187,4.1438,4.1732,233200.79,1580540399999,971873.404813,2254,105420.77,439390.103874,0,4.145381039999999,4.1836504,4.13924182,4.16860948
1580540400.0,4.1724,4.2342,4.1716,4.2008,354266.81,1580543999999,1489579.130969,3143,179799.95,756101.348177,0,4.16906208,4.2312360600000005,4.16701124,4.19785944
1580544000.0,4.2021,4.2116,4.1343,4.1401,336036.34,1580547599999,1397998.915213,3370,158543.17,659365.797362,0,4.19831811,4.20907304,4.12892541,4.13554589
1580547600.0,4.1434,4.1514,4.0914,4.1283,512857.87,1580551199999,2113515.03972,5280,219299.94,904149.644104,0,4.13884226,4.148494019999999,4.08649032,4.12334604
1580551200.0,4.1285,4.1534,4.1072,4.135,196457.94,1580554799999,811317.647633,1961,98521.74,407016.934368,0,4.1235458,4.1513233000000005,4.10227136,4.1321055
1580554800.0,4.135,4.14,4.0662,4.0936,427749.04,1580558399999,1752702.405914,4129,205082.14,840407.695669,0,4.1329325,4.138344,4.05928746,4.0895064
1580558400.0,4.0925,4.12,4.086,4.1012,290275.33,1580561999999,1190896.818322,2507,167421.68,686857.974629,0,4.088407500000001,4.116292,4.080279600000001,4.0970988
1580562000.0,4.1012,4.1997,4.0989,4.1635,499793.64,1580565599999,2080552.697334,4416,247658.13,1030751.822506,0,4.09750892,4.19592027,4.09234176,4.15725475
1580565600.0,4.165,4.1736,4.1264,4.1584,318993.64,1580569199999,1323732.060063,3019,147822.56,613400.946117,0,4.1587525,4.169426400000001,4.11979776,4.15174656
1580569200.0,4.1584,4.1685,4.1318,4.1386,248445.18,1580572799999,1031445.982316,2187,125292.58,520323.208655,0,4.15174656,4.1643315,4.12477594,4.1344614
1580572800.0,4.1384,4.1942,4.1314,4.181,372512.5,1580576399999,1552068.161889,3004,194258.07,809201.748485,0,4.13302008,4.190005800000001,4.12437662,4.1755647
1580576400.0,4.1856,4.1879,4.1424,4.1448,129977.83,1580579999999,541827.060988,1447,61406.09,256132.495853,0,4.1801587200000005,4.18329331,4.135357920000001,4.1398262400000005
1580580000.0,4.1425,4.1763,4.1402,4.159,140147.49,1580583599999,582986.68476,1210,67081.62,279025.318843,0,4.13794325,4.17295896,4.13357568,4.1531774
1580583600.0,4.159,4.1612,4.1319,4.1422,156936.51,1580587199999,650819.613839,1112,81293.64,337218.535059,0,4.1531774,4.1570388,4.12570215,4.1359867
1580587200.0,4.1407,4.1653,4.1368,4.1472,116164.18,1580590799999,482288.575081,1232,59887.94,248578.476503,0,4.13448895,4.1611347,4.12935376,4.14014976
1580590800.0,4.1475,4.1515,4.1,4.1154,209770.51,1580594399999,865368.665892,1681,105712.56,436157.301008,0,4.1400345,4.14693335,4.092619999999999,4.11004998
1580594400.0,4.1146,4.1602,4.11,4.156,193258.01,1580597999999,799586.536606,1946,108916.79,450636.537452,0,4.10760518,4.156039799999999,4.102602,4.1485192
1580598000.0,4.156,4.1636,4.1404,4.1531,80132.03,1580601599999,332649.602764,898,46230.73,191925.404256,0,4.1485192,4.1594364,4.13294728,4.1489469
1580601600.0,4.1546,4.1546,4.07,4.091,378612.8,1580605199999,1555439.787432,3293,176041.84,723634.829541,0,4.14878356,4.15086086,4.063488,4.0856817
1580605200.0,4.089,4.13,4.0804,4.1154,194789.14,1580608799999,798608.281565,1852,121685.99,498776.921939,0,4.083684300000001,4.12587,4.07346332,4.1112846
1580608800.0,4.1172,4.1172,4.0435,4.0791,560262.21,1580612399999,2283474.10169,4594,288381.83,1175075.348493,0,4.113082800000001,4.113082800000001,4.0362217,4.0742050800000005
1580612400.0,4.0759,4.1066,4.0645,4.083,432660.74,1580615999999,1767952.443126,2778,210767.48,861259.802028,0,4.07100892,4.10167208,4.056777449999999,4.076875500000001
1580616000.0,4.0844,4.1375,4.05,4.1161,462987.46,1580619599999,1892684.881348,4038,261732.89,1070028.456526,0,4.0782734,4.13212125,4.041495,4.110749070000001
1580619600.0,4.1174,4.1352,4.1074,4.1227,177321.04,1580623199999,730810.791084,2404,71341.84,294011.138005,0,4.11163564,4.1298242400000005,4.09959594,4.11692822
1580623200.0,4.1237,4.207,4.1112,4.1926,617257.25,1580626799999,2571691.427039,5879,345971.25,1441785.419064,0,4.11668971,4.202793,4.10338872,4.186730359999999
1580626800.0,4.1925,4.2019,4.1699,4.1878,403703.05,1580630399999,1689059.995705,2852,210213.07,879320.394132,0,4.18704975,4.19895867,4.16447913,4.18277464
1580630400.0,4.1896,4.198,4.1679,4.1941,202427.6,1580633999999,846557.871965,2003,98992.02,414023.145253,0,4.1858293600000005,4.196740600000001,4.163732100000001,4.1903253099999995
1580634000.0,4.1941,4.2076,4.1834,4.1939,238477.23,1580637599999,1000974.029812,1920,103316.42,433474.725507,0,4.1903253099999995,4.20507544,4.1750332,4.18886732
1580637600.0,4.1947,4.2988,4.1931,4.267,637467.34,1580641199999,2709668.758406,5711,335026.04,1424260.277158,0,4.18966636,4.29622072,4.18639104,4.2644398
1580641200.0,4.2673,4.2926,4.2541,4.2777,219601.12,1580644799999,937883.945859,2061,108447.6,463201.618597,0,4.26260597,4.29002444,4.24771885,4.27128345
1580644800.0,4.2796,4.3359,4.2499,4.2629,559990.97,1580648399999,2401825.253933,5335,304418.92,1305852.307286,0,4.273180600000001,4.333298459999999,4.24310016,4.25906339
1580648400.0,4.2628,4.2649,4.2328,4.2502,194849.29,1580651999999,828028.494659,2064,100968.0,429067.417096,0,4.25938976,4.26319404,4.2285672000000005,4.24679984
