open-time,open,high,low,close,volume,close-time,quote-asset-volume,num-of-trades,taker-buy-base-asset-vol,taker-buy-quote-asset-vol,ignore,open-usd,high-usd,low-usd,close-usd,12-period-EMA,26-period-EMA,MACD,Signal,change,gain,loss,avg-gain,avg-loss,RS,RSI,adx,cci
1580428800.0,2.912,2.9153,2.867,2.87,237401.98,1580432399999,686117.470859,2105,106833.78,308799.468794,0,2.907632,2.9123847,2.8609793,2.865695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,
1580432400.0,2.87,2.8888,2.867,2.884,128174.19,1580435999999,369322.814453,1680,81349.79,234502.889742,0,2.865695,2.8859112,2.8615527,2.8799624,0.0,0.0,0.0,0.0,0.0142674,0.0142674,0.0,,,,,0.0,
1580436000.0,2.8842,2.885,2.8623,2.8771,141016.07,1580439599999,404380.604287,1733,63914.94,183361.675616,0,2.87958528,2.882115,2.85686163,2.87192122,0.0,0.0,0.0,0.0,-0.0080411800000002,0.0,0.0080411800000002,,,,,0.0,
1580439600.0,2.8771,2.8976,2.87,2.8943,101014.52,1580443199999,291373.731689,1228,57580.47,166219.453862,0,2.87192122,2.89354336,2.863973,2.88822197,0.0,0.0,0.0,0.0,0.01630075,0.01630075,0.0,,,,,0.0,
1580443200.0,2.894,2.901,2.8803,2.8889,101355.83,1580446799999,292986.915123,824,39633.14,114557.070253,0,2.8879226,2.8957782,2.87252319,2.8819666400000004,0.0,0.0,0.0,0.0,-0.0062553299999996,0.0,0.0062553299999996,,,,,0.0,
1580446800.0,2.8889,2.8914,2.8573,2.8632,127544.26,1580450399999,366096.766733,1074,56576.55,162252.688963,0,2.88254442,2.88648462,2.85044248,2.85661464,0.0,0.0,0.0,0.0,-0.0253520000000002,0.0,0.0253520000000002,,,,,0.0,
1580450400.0,2.863,2.8934,2.8551,2.8798,151574.55,1580453999999,435350.612729,1155,63217.67,181625.013634,0,2.8567014,2.88790254,2.84739123,2.8740404,0.0,0.0,0.0,0.0,0.01742576,0.01742576,0.0,,,,,0.0,
1580454000.0,2.88,2.8859,2.8661,2.8729,60330.03,1580457599999,173244.451719,745,25086.0,72028.988804,0,2.873952,2.8801282,2.85807492,2.86485588,0.0,0.0,0.0,0.0,-0.0091845200000002,0.0,0.0091845200000002,,,,,0.0,
1580457600.0,2.8729,2.8803,2.8552,2.8753,150576.81,1580461199999,432010.161519,1026,100560.92,288603.366083,0,2.86514317,2.87425137,2.84691992,2.8692618700000003,0.0,0.0,0.0,0.0,0.0044059900000004,0.0044059900000004,0.0,,,,,0.0,
1580461200.0,2.8779,2.9001,2.8765,2.8923,83450.38,1580464799999,241147.068902,928,28188.23,81461.671418,0,2.87185641,2.89400979,2.8684458,2.88420156,0.0,0.0,0.0,0.0,0.0149396899999998,0.0149396899999998,0.0,,,,,0.0,
